,chemicalFormula,mpID,volume,volumeUnits,formationEnergy,formationEnergyUnits,bandGap,bandGapUnits,density,densityUnits,crystalSystem
92,Li3N,mp-2251,44.882564181701426,$\AA^3$,-0.4599910430950005,eV/atom,0.9840000000000001,eV,1.288608917766187,g/cm$^3$,hexagonal
93,Re(AgCl3)2,mp-23472,236.5732327711168,$\AA^3$,-0.933140627173334,eV/atom,0.8258,eV,4.314389950125257,g/cm$^3$,trigonal
94,Ca2MnAs2(H2O5)2,mp-25700,431.55420793542726,$\AA^3$,-2.145367506279964,eV/atom,2.4949999999999997,eV,3.455049355019468,g/cm$^3$,monoclinic
95,Y3CuGeSe7,mp-17916,569.8245458180413,$\AA^3$,-1.2682087991796873,eV/atom,1.1180000000000003,eV,5.569609488552672,g/cm$^3$,hexagonal
96,SrCuSF,mp-12444,137.07079454158963,$\AA^3$,-2.0720954085156253,eV/atom,1.5103,eV,4.899800808877802,g/cm$^3$,tetragonal
97,SnO2,mp-856,75.73395852909412,$\AA^3$,-2.1247988141666667,eV/atom,0.6519000000000004,eV,6.6088669600194,g/cm$^3$,tetragonal
98,ScCr2Ag(H2O5)2,mp-566713,213.345768212532,$\AA^3$,-1.786743821498888,eV/atom,1.8005,eV,3.275549573845427,g/cm$^3$,triclinic
99,BaSi2,mp-1477,709.248468230196,$\AA^3$,-0.35814423666666667,eV/atom,0.7812999999999999,eV,3.6242414276895953,g/cm$^3$,orthorhombic
100,SrS,mp-1087,55.731533542061,$\AA^3$,-2.15063816703125,eV/atom,2.497,eV,3.5660529708893307,g/cm$^3$,cubic
101,CrCuO2,mp-510625,46.03572041214277,$\AA^3$,-1.781159923125001,eV/atom,1.6653000000000002,eV,5.321897967404162,g/cm$^3$,trigonal
102,Cs3PSe4,mp-583193,1273.6736420898756,$\AA^3$,-0.9128347237462799,eV/atom,1.8309000000000002,eV,3.887908915779241,g/cm$^3$,orthorhombic
103,Na2PSe3,mp-567228,649.8165772613095,$\AA^3$,-0.7088283877294153,eV/atom,1.9240000000000002,eV,3.2078739048616742,g/cm$^3$,orthorhombic
104,HgI,mp-22859,159.06778146797498,$\AA^3$,-0.25861760512931053,eV/atom,1.6513,eV,6.837554517056658,g/cm$^3$,tetragonal
105,Rb4P2Se9,mp-569862,1052.2884608702361,$\AA^3$,-0.6688731482356152,eV/atom,1.4230999999999998,eV,3.517290469040324,g/cm$^3$,monoclinic
106,K3AgSn3Se8,mp-571594,945.9375248066978,$\AA^3$,-0.6699063889166667,eV/atom,1.1216000000000002,eV,4.258609030416938,g/cm$^3$,tetragonal
107,HgBr,mp-23177,139.4810803788678,$\AA^3$,-0.4286221026293102,eV/atom,2.2557,eV,6.678629142272419,g/cm$^3$,tetragonal
108,Rb3AgSn3Se8,mp-571164,1019.702584347542,$\AA^3$,-0.6721037859166666,eV/atom,1.1725,eV,4.403605827094255,g/cm$^3$,tetragonal
109,VSO5,mp-25625,343.7917306776781,$\AA^3$,-2.1117296186160712,eV/atom,1.4931999999999999,eV,3.149274771393423,g/cm$^3$,orthorhombic
110,V2ZnO4,mp-18879,157.3890398175115,$\AA^3$,-2.365277282857142,eV/atom,1.6539999999999995,eV,4.880459062052039,g/cm$^3$,cubic
111,Cd(RhO2)2,mp-14100,177.89442690233903,$\AA^3$,-1.231062546428571,eV/atom,0.8366999999999996,eV,7.135586349958966,g/cm$^3$,cubic
112,Rb2PtCl6,mp-23350,264.767812426512,$\AA^3$,-1.623995527728889,eV/atom,1.9363000000000001,eV,3.6296568719540474,g/cm$^3$,cubic
113,Rb2PbCl6,mp-23475,291.0406993774347,$\AA^3$,-1.6972033332844443,eV/atom,1.254,eV,3.371127823399658,g/cm$^3$,cubic
114,BP,mp-1479,23.499693654973573,$\AA^3$,-0.41198318238095233,eV/atom,1.2434999999999992,eV,2.9526011966133368,g/cm$^3$,cubic
115,Rb2SnBr6,mp-569028,333.12484118172773,$\AA^3$,-1.2242090705555557,eV/atom,1.3126,eV,3.8336078427163254,g/cm$^3$,cubic
116,Hg3Se4O5,mp-558456,524.3530338649642,$\AA^3$,-0.8333905653250717,eV/atom,1.8293,eV,6.318511172336077,g/cm$^3$,triclinic
117,KMgH3,mp-23737,65.13786381935667,$\AA^3$,-0.3453911601719998,eV/atom,2.458,eV,1.6934055202645262,g/cm$^3$,cubic
118,EuI2,mp-23305,510.3186837381334,$\AA^3$,-1.6046126225000006,eV/atom,1.3090000000000002,eV,5.28141948496132,g/cm$^3$,monoclinic
119,Nb3Sb2Te5,mp-569571,488.2948537776975,$\AA^3$,-0.39130804450000056,eV/atom,0.8441000000000001,eV,7.891224880754889,g/cm$^3$,cubic
120,SiB3,mp-569128,328.145035243039,$\AA^3$,-0.04079174812499975,eV/atom,1.4080000000000004,eV,2.449973369028329,g/cm$^3$,orthorhombic
121,BiIO,mp-22987,158.36622923064766,$\AA^3$,-1.2217094779166662,eV/atom,1.4833000000000003,eV,7.379319806518362,g/cm$^3$,tetragonal
122,BiBrO,mp-23072,138.81296196442958,$\AA^3$,-1.3917290312500004,eV/atom,2.2701,eV,7.294295995385654,g/cm$^3$,tetragonal
123,BaTe,mp-1000,89.09109455639522,$\AA^3$,-1.7890660799999996,eV/atom,1.593,eV,4.93788517151166,g/cm$^3$,cubic
124,PtO2,mp-1285,67.03811671061457,$\AA^3$,-0.9408788874999997,eV/atom,0.6417999999999999,eV,11.249714228023752,g/cm$^3$,orthorhombic
125,K3Gd3(PS4)4,mp-604889,1411.5063079890695,$\AA^3$,-1.0877179158608061,eV/atom,1.4978000000000002,eV,2.8845601447150195,g/cm$^3$,monoclinic
126,InSb2S4Br,mp-559864,423.38193482971644,$\AA^3$,-0.42707038421874977,eV/atom,1.5220000000000002,eV,4.443735277475595,g/cm$^3$,monoclinic
127,CdSb2Se3Br2,mp-567556,488.67861301351826,$\AA^3$,-0.49765145197265603,eV/atom,1.1147,eV,5.11482642744395,g/cm$^3$,monoclinic
128,InSb2S4Cl,mp-556541,408.7228174446734,$\AA^3$,-0.54157233993875,eV/atom,1.5135,eV,4.241926152626977,g/cm$^3$,monoclinic
129,InSb2Se4Br,mp-570321,469.94799264801406,$\AA^3$,-0.42135684960937514,eV/atom,1.1267000000000005,eV,5.3290258931413,g/cm$^3$,monoclinic
130,Sr2PbO4,mp-20944,227.25428009572292,$\AA^3$,-2.4884500578571425,eV/atom,1.3966000000000003,eV,6.524207247366884,g/cm$^3$,orthorhombic
131,GeTe,mp-938,56.2649656275286,$\AA^3$,-0.09100323749999983,eV/atom,0.7468999999999992,eV,5.9096510560801905,g/cm$^3$,trigonal
132,Ho3SiCuS7,mp-17486,479.2007417746952,$\AA^3$,-1.5151681398697907,eV/atom,1.8279999999999994,eV,5.619747488307098,g/cm$^3$,hexagonal
133,NaTl2RhF6,mp-14037,163.064785281569,$\AA^3$,-1.9524973605000002,eV/atom,1.7802999999999998,eV,6.605425992846198,g/cm$^3$,cubic
134,Ni2Hg2OF6,mp-540834,290.70496618440234,$\AA^3$,-1.5480364356152039,eV/atom,0.9556,eV,7.409254288216282,g/cm$^3$,cubic
135,Rb2NaRhF6,mp-14038,162.21031013125025,$\AA^3$,-2.3816266675,eV/atom,1.9529999999999998,eV,4.205557208690548,g/cm$^3$,cubic
136,Rb2SbAuS4,mp-556894,1067.5272632910733,$\AA^3$,-0.6569476048437499,eV/atom,1.5357999999999998,eV,3.844712344338381,g/cm$^3$,orthorhombic
137,Co2Te3O8,mp-18855,394.9078138721229,$\AA^3$,-1.5073960815384617,eV/atom,2.4752,eV,5.28688975838184,g/cm$^3$,monoclinic
138,Na2Se,mp-1266,80.4777046240884,$\AA^3$,-1.070501616197917,eV/atom,2.0162,eV,2.5779433884171907,g/cm$^3$,cubic
139,NdTlS2,mp-3664,113.97040270642587,$\AA^3$,-1.45419320828125,eV/atom,1.6441,eV,6.013809061151868,g/cm$^3$,trigonal
140,ZrIN,mp-23052,155.18501113522547,$\AA^3$,-1.5031118299599993,eV/atom,1.2218,eV,4.967870052631054,g/cm$^3$,orthorhombic
141,Hg3(SeCl)2,mp-27851,411.77598325292627,$\AA^3$,-0.6004176681404806,eV/atom,1.7701,eV,6.698967602390465,g/cm$^3$,cubic
142,TiNCl,mp-27850,109.16788933487898,$\AA^3$,-1.858425010768889,eV/atom,0.5613000000000001,eV,2.9608481832368816,g/cm$^3$,orthorhombic
143,TiBrN,mp-27849,119.51875657571104,$\AA^3$,-1.5089222655155556,eV/atom,0.5597000000000001,eV,3.939588993811636,g/cm$^3$,orthorhombic
144,GaN,mp-804,46.94282735959896,$\AA^3$,-0.6658032086899999,eV/atom,1.7433,eV,5.923649405630583,g/cm$^3$,hexagonal
145,Hg3(TeCl)2,mp-27852,448.39010357556157,$\AA^3$,-0.5738927413994092,eV/atom,1.9124999999999999,eV,6.87247198176464,g/cm$^3$,cubic
146,AgHgSI,mp-23140,503.52462695862846,$\AA^3$,-0.21258078920528023,eV/atom,1.3584,eV,6.165989087569441,g/cm$^3$,orthorhombic
147,LiAg3O2,mp-27227,176.5269591946067,$\AA^3$,-0.8181151379166666,eV/atom,0.7277999999999998,eV,6.82070420900317,g/cm$^3$,orthorhombic
148,Fe2PH2CO7,mp-542770,568.0050332995992,$\AA^3$,-1.9760804654104027,eV/atom,2.4337,eV,3.141970723269981,g/cm$^3$,monoclinic
149,CsAgCl2,mp-567558,263.9079463441904,$\AA^3$,-1.52891506913,eV/atom,2.2017,eV,3.9222478900933253,g/cm$^3$,tetragonal
150,Ag2HgI4,mp-23485,281.1622979536299,$\AA^3$,-0.3021971118226602,eV/atom,1.2205999999999997,eV,5.456796479975969,g/cm$^3$,tetragonal
151,K2PdCl4,mp-22956,216.07802975386883,$\AA^3$,-1.71706902472,eV/atom,1.4172,eV,2.5085724626653554,g/cm$^3$,tetragonal
152,GdFeO3,mp-600862,237.708168189591,$\AA^3$,-2.912354858249999,eV/atom,1.6787999999999998,eV,7.29559146259783,g/cm$^3$,orthorhombic
153,EuYSi4N7,mp-22517,313.4957434868808,$\AA^3$,-1.4434565243584627,eV/atom,0.5528999999999993,eV,4.780496918282189,g/cm$^3$,hexagonal
154,Si,mp-149,40.888291888494884,$\AA^3$,0.0,eV/atom,0.6118999999999994,eV,2.281194137085888,g/cm$^3$,cubic
155,CaTiO3,mp-4019,458.2992887203482,$\AA^3$,-3.573475853333334,eV/atom,2.3238,eV,3.9404638881389475,g/cm$^3$,orthorhombic
156,CsAu,mp-2667,84.0887403737732,$\AA^3$,-0.3266473900000002,eV/atom,1.0239,eV,6.514134082857784,g/cm$^3$,cubic
157,HgF,mp-706,81.29938948318333,$\AA^3$,-1.1989198338793101,eV/atom,1.7582,eV,8.970180278887955,g/cm$^3$,tetragonal
158,PH3CS3,mp-559616,605.179757645203,$\AA^3$,-0.22586239498659122,eV/atom,2.1394,eV,1.5607533561515876,g/cm$^3$,monoclinic
159,P2H19C6I2NCl4,mp-567256,2001.3353589083167,$\AA^3$,-0.46613995707030775,eV/atom,2.1525000000000003,eV,1.8678230355557728,g/cm$^3$,monoclinic
160,Cs2O,mp-7988,115.6029060303065,$\AA^3$,-1.2236788204166666,eV/atom,0.5856999999999999,eV,4.047968981645275,g/cm$^3$,trigonal
161,AlSb,mp-2624,60.56062422119245,$\AA^3$,-0.16353219500000016,eV/atom,1.2272999999999996,eV,4.0784109673739515,g/cm$^3$,cubic
162,CaV2O4,mp-540837,311.908805254371,$\AA^3$,-2.7935230785714285,eV/atom,0.9624000000000006,eV,4.3859264714987125,g/cm$^3$,orthorhombic
163,Cd(InSe2)2,mp-22304,212.0157310906325,$\AA^3$,-0.5857423506249998,eV/atom,0.9544999999999999,eV,5.152669396276674,g/cm$^3$,tetragonal
164,GdCuSe2,mp-510528,347.7673554633779,$\AA^3$,-1.2331554292968754,eV/atom,0.7496,eV,7.233256924503488,g/cm$^3$,monoclinic
165,ScCuO2,mp-3642,104.36778908388393,$\AA^3$,-2.737268228125,eV/atom,2.3309,eV,4.47086026737033,g/cm$^3$,hexagonal
166,KSn2Br5,mp-23541,540.8383644199989,$\AA^3$,-1.0409578765625,eV/atom,2.3617999999999997,eV,4.151288011679978,g/cm$^3$,tetragonal
167,Ba3SbN,mp-12814,343.9160210527715,$\AA^3$,-0.8913436404760006,eV/atom,0.7075,eV,5.289409734120335,g/cm$^3$,hexagonal
168,Zr3N4,mp-277,356.4737155166014,$\AA^3$,-1.6928660495742858,eV/atom,0.9707999999999997,eV,6.143260114576366,g/cm$^3$,orthorhombic
